,exp_name,env_name,seed,metric,env_step,value
0,mrq,acrobot-swingup,0,avg_return,0,6.06898
1,mrq,acrobot-swingup,0,avg_return,10000,2.41535
2,mrq,acrobot-swingup,0,avg_return,20000,8.24891
3,mrq,acrobot-swingup,0,avg_return,30000,4.02635
4,mrq,acrobot-swingup,0,avg_return,40000,8.77652
5,mrq,acrobot-swingup,0,avg_return,50000,17.02152
6,mrq,acrobot-swingup,0,avg_return,60000,40.81003
7,mrq,acrobot-swingup,0,avg_return,70000,18.96412
8,mrq,acrobot-swingup,0,avg_return,80000,21.47348
9,mrq,acrobot-swingup,0,avg_return,90000,17.0351
10,mrq,acrobot-swingup,0,avg_return,100000,28.21561
11,mrq,acrobot-swingup,0,avg_return,110000,2.41355
12,mrq,acrobot-swingup,0,avg_return,120000,0.83291
13,mrq,acrobot-swingup,0,avg_return,130000,5.00665
14,mrq,acrobot-swingup,0,avg_return,140000,13.74613
15,mrq,acrobot-swingup,0,avg_return,150000,5.22637
16,mrq,acrobot-swingup,0,avg_return,160000,29.86384
17,mrq,acrobot-swingup,0,avg_return,170000,41.60669
18,mrq,acrobot-swingup,0,avg_return,180000,13.16077
19,mrq,acrobot-swingup,0,avg_return,190000,38.88459
20,mrq,acrobot-swingup,0,avg_return,200000,13.33259
21,mrq,acrobot-swingup,0,avg_return,210000,15.23131
22,mrq,acrobot-swingup,0,avg_return,220000,15.01048
23,mrq,acrobot-swingup,0,avg_return,230000,6.04956
24,mrq,acrobot-swingup,0,avg_return,240000,4.29348
25,mrq,acrobot-swingup,0,avg_return,250000,12.34982
26,mrq,acrobot-swingup,0,avg_return,260000,27.88078
27,mrq,acrobot-swingup,0,avg_return,270000,24.1327
28,mrq,acrobot-swingup,0,avg_return,280000,26.92885
29,mrq,acrobot-swingup,0,avg_return,290000,9.49841
30,mrq,acrobot-swingup,0,avg_return,300000,23.07222
31,mrq,acrobot-swingup,0,avg_return,310000,16.49436
32,mrq,acrobot-swingup,0,avg_return,320000,15.82681
33,mrq,acrobot-swingup,0,avg_return,330000,43.68138
34,mrq,acrobot-swingup,0,avg_return,340000,37.39051
35,mrq,acrobot-swingup,0,avg_return,350000,56.4138
36,mrq,acrobot-swingup,0,avg_return,360000,24.63141
37,mrq,acrobot-swingup,0,avg_return,370000,19.71294
38,mrq,acrobot-swingup,0,avg_return,380000,96.96486
39,mrq,acrobot-swingup,0,avg_return,390000,41.20183
40,mrq,acrobot-swingup,0,avg_return,400000,35.42974
41,mrq,acrobot-swingup,0,avg_return,410000,69.94599
42,mrq,acrobot-swingup,0,avg_return,420000,9.99945
43,mrq,acrobot-swingup,0,avg_return,430000,164.54677
44,mrq,acrobot-swingup,0,avg_return,440000,32.29593
45,mrq,acrobot-swingup,0,avg_return,450000,126.4183
46,mrq,acrobot-swingup,0,avg_return,460000,113.77003
47,mrq,acrobot-swingup,0,avg_return,470000,50.04117
48,mrq,acrobot-swingup,0,avg_return,480000,47.6054
49,mrq,acrobot-swingup,0,avg_return,490000,94.23299
50,mrq,acrobot-swingup,0,avg_return,500000,92.00972
51,mrq,acrobot-swingup,0,avg_return,510000,91.37476
52,mrq,acrobot-swingup,0,avg_return,520000,162.91181
53,mrq,acrobot-swingup,0,avg_return,530000,192.31453
54,mrq,acrobot-swingup,0,avg_return,540000,143.5658
55,mrq,acrobot-swingup,0,avg_return,550000,172.48434
56,mrq,acrobot-swingup,0,avg_return,560000,71.2972
57,mrq,acrobot-swingup,0,avg_return,570000,192.96442
58,mrq,acrobot-swingup,0,avg_return,580000,174.3565
59,mrq,acrobot-swingup,0,avg_return,590000,192.4622
60,mrq,acrobot-swingup,0,avg_return,600000,184.09503
61,mrq,acrobot-swingup,0,avg_return,610000,170.22521
62,mrq,acrobot-swingup,0,avg_return,620000,249.85164
63,mrq,acrobot-swingup,0,avg_return,630000,298.47903
64,mrq,acrobot-swingup,0,avg_return,640000,229.66599
65,mrq,acrobot-swingup,0,avg_return,650000,320.44125
66,mrq,acrobot-swingup,0,avg_return,660000,137.4361
67,mrq,acrobot-swingup,0,avg_return,670000,197.95355
68,mrq,acrobot-swingup,0,avg_return,680000,227.80051
69,mrq,acrobot-swingup,0,avg_return,690000,146.78321
70,mrq,acrobot-swingup,0,avg_return,700000,286.45413
71,mrq,acrobot-swingup,0,avg_return,710000,324.38228
72,mrq,acrobot-swingup,0,avg_return,720000,301.0098
73,mrq,acrobot-swingup,0,avg_return,730000,211.7083
74,mrq,acrobot-swingup,0,avg_return,740000,258.99794
75,mrq,acrobot-swingup,0,avg_return,750000,213.30184
76,mrq,acrobot-swingup,0,avg_return,760000,294.99967
77,mrq,acrobot-swingup,0,avg_return,770000,308.51054
78,mrq,acrobot-swingup,0,avg_return,780000,332.79142
79,mrq,acrobot-swingup,0,avg_return,790000,299.50683
80,mrq,acrobot-swingup,0,avg_return,800000,323.15348
81,mrq,acrobot-swingup,0,avg_return,810000,258.39093
82,mrq,acrobot-swingup,0,avg_return,820000,352.80086
83,mrq,acrobot-swingup,0,avg_return,830000,348.39755
84,mrq,acrobot-swingup,0,avg_return,840000,423.10581
85,mrq,acrobot-swingup,0,avg_return,850000,315.77388
86,mrq,acrobot-swingup,0,avg_return,860000,315.69103
87,mrq,acrobot-swingup,0,avg_return,870000,280.98097
88,mrq,acrobot-swingup,0,avg_return,880000,326.86036
89,mrq,acrobot-swingup,0,avg_return,890000,375.4659
90,mrq,acrobot-swingup,0,avg_return,900000,315.03888
91,mrq,acrobot-swingup,0,avg_return,910000,289.71125
92,mrq,acrobot-swingup,0,avg_return,920000,309.08305
93,mrq,acrobot-swingup,0,avg_return,930000,319.02234
94,mrq,acrobot-swingup,0,avg_return,940000,323.06541
95,mrq,acrobot-swingup,0,avg_return,950000,246.40359
96,mrq,acrobot-swingup,0,avg_return,960000,289.86311
97,mrq,acrobot-swingup,0,avg_return,970000,277.50153
98,mrq,acrobot-swingup,0,avg_return,980000,341.32167
99,mrq,acrobot-swingup,0,avg_return,990000,340.3059
100,mrq,acrobot-swingup,0,avg_return,1000000,287.10924
101,mrq,acrobot-swingup,1,avg_return,0,6.97233
102,mrq,acrobot-swingup,1,avg_return,10000,8.27926
103,mrq,acrobot-swingup,1,avg_return,20000,0.81371
104,mrq,acrobot-swingup,1,avg_return,30000,14.22488
105,mrq,acrobot-swingup,1,avg_return,40000,9.11906
106,mrq,acrobot-swingup,1,avg_return,50000,1.24824
107,mrq,acrobot-swingup,1,avg_return,60000,12.82694
108,mrq,acrobot-swingup,1,avg_return,70000,1.06362
109,mrq,acrobot-swingup,1,avg_return,80000,23.26716
110,mrq,acrobot-swingup,1,avg_return,90000,2.69224
111,mrq,acrobot-swingup,1,avg_return,100000,4.30682
112,mrq,acrobot-swingup,1,avg_return,110000,17.99734
113,mrq,acrobot-swingup,1,avg_return,120000,13.0233
114,mrq,acrobot-swingup,1,avg_return,130000,4.46752
115,mrq,acrobot-swingup,1,avg_return,140000,17.02523
116,mrq,acrobot-swingup,1,avg_return,150000,18.16589
117,mrq,acrobot-swingup,1,avg_return,160000,3.25155
118,mrq,acrobot-swingup,1,avg_return,170000,11.90314
119,mrq,acrobot-swingup,1,avg_return,180000,12.71704
120,mrq,acrobot-swingup,1,avg_return,190000,15.02758
121,mrq,acrobot-swingup,1,avg_return,200000,9.30763
